TYTUL1;Lokalizacja;TYTUL2;CATEGORIA
P³atnoœæ kart¹; Kraj; AUTOMATY UVP;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; AUTOMATY UVP;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
Polecenie Zap³aty; PGNIG OBRÓT DETALICZNY SPÓ£KA Z OGR ANICZON¥ ODPOWIEDZIALNOŒCI¥;;INNE
Przelew podatkowy; URZ¥D SKARBOWY;;INNE
Wyp³ata w bankomacie - kod mobilny; Kraj; PULAWSKA 46;BANKOMAT
P³atnoœæ kart¹; Kraj; EMEL SP. Z O.O.;INNE
P³atnoœæ kart¹; Kraj; DELIKOMAT VENDING;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; ORLEN 02;PALIWO
P³atnoœæ kart¹; Kraj; Leroy Merlin Piaseczno;DOM I ELEKTRONIKA
P³atnoœæ kart¹; Kraj; LIDL OKULICKIEGO;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; DELIKOMAT VENDING;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj;" Sklep ""JOLA""";Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; IMA PHARMA SP.Z O.O.;INNE
P³atnoœæ kart¹; Kraj; KRAMIG;INNE
Wyp³ata z bankomatu; Kraj; PLANET CASH PULAWSKA 46;BANKOMAT
P³atnoœæ kart¹; Kraj; ORLEN 02;PALIWO
P³atnoœæ kart¹; Kraj; Leroy Merlin Piaseczno;DOM I ELEKTRONIKA
P³atnoœæ kart¹; Kraj; KIOSK;INNE
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; AUTOMATY UVP;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; AUTOMATY UVP;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; AUTOMATY UVP;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; KIOSK;INNE
P³atnoœæ kart¹; Kraj; EMEL SP. Z O.O.;INNE
P³atnoœæ kart¹; Kraj; DELIKOMAT VENDING;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; SODEXO Restauracja UBC;BARY RESTAURACJE OUTDOOR
Wyp³ata z bankomatu; Kraj; RCNN0M30;BANKOMAT
Przelew z rachunku; E-MOBILNE KRZYSZTOF TRELLA;;OP£ATY RÓ¯NE
Przelew z rachunku; LESZNOWOLSKIE PRZEDSIÊBIORSTWO KOMUNALNE S.A.;;OP£ATY RÓ¯NE
P³atnoœæ kart¹; Kraj; AUTOMATY UVP;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; AUTOMATY UVP;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; AUTOMATY UVP;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; KIOSK;INNE
P³atnoœæ kart¹; Kraj; AUCHAN POLSKA SP. Z  02;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; LIDL PULAWSKA;Zakupy Spozywcze
Polecenie Zap³aty; T-MOBILE POLSKA S.A. MARYNARSKA 12;;INNE
P³atnoœæ kart¹; Kraj; SODEXO Restauracja UBC;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; EMEL SP. Z O.O.;INNE
P³atnoœæ kart¹; Kraj; U ZRODLA SP. Z O.O.;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; Sklep Spozywczy  36198;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; DELIKOMAT VENDING;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj;" Sklep ""JOLA""";Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; PayU*Allegro;INNE
P³atnoœæ kart¹; Kraj; PayU*Allegro;INNE
P³atnoœæ kart¹; Kraj; BP-KUJAWY 216;PALIWO
Wyp³ata w bankomacie - kod mobilny; Kraj; NOWOWIEJSKA;BANKOMAT
Przelew z rachunku; PLUM SZKO£A P£YWANIA;;OP£ATY RÓ¯NE
P³atnoœæ kart¹; Kraj; DELIKOMAT VENDING;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; DELIKOMAT VENDING;BARY RESTAURACJE OUTDOOR
Przelew z rachunku; KONTO SZKOLNE;;OP£ATY RÓ¯NE
Zlecenie sta³e; WSPÓLNOTA MAGNOLIA 1FUNDUSZREMONTOWY;;ZLECENIA STA£E I SP£ATY KREDYTÓW
Zlecenie sta³e; WSPÓLNOTA MIESZKANIOWA MAGNOLII 1;;ZLECENIA STA£E I SP£ATY KREDYTÓW
P³atnoœæ kart¹; Kraj; AUTO GAZ MYJNIA;SAMOCHODY I KOMUNIKACJA
P³atnoœæ kart¹; Kraj; McDonalds 429 MOP Parma;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; McDonalds 429 MOP Parma;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; AUTOMATY UVP;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; AUTOMATY UVP;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; AUTOMATY UVP;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; H AND M PIASECZNO KASA;ODZIEZ I OBUWIE
Wyp³ata z bankomatu; Kraj; ul. Krasickiego 62 A;BANKOMAT
P³atnoœæ kart¹; Kraj; EMEL SP. Z O.O.;INNE
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
Wyp³ata z bankomatu; Kraj; UL. PULAWSKA 46;BANKOMAT
P³atnoœæ kart¹; Kraj; AUCHAN POLSKA SP. Z  02;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; DECATHLON Piaseczno;ODZIEZ I OBUWIE
P³atnoœæ kart¹; Kraj; AUTOMATY UVP;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; AUTOMATY UVP;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; AUTOMATY UVP;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; H AND M PIASECZNO 4;ODZIEZ I OBUWIE
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
Zwrot p³atnoœci kart¹; Kraj; Deichmann-Obuwie Sp.z.;ODZIEZ I OBUWIE
Zwrot p³atnoœci kart¹; Kraj; Deichmann-Obuwie Sp.z.;ODZIEZ I OBUWIE
P³atnoœæ kart¹; Kraj; Cukiernia Sowa  (CH Auc;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; AUCHAN POLSKA SP. Z  02;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; FLUNCH;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; AUCHAN POLSKA SP. Z  02;Zakupy Spozywcze
Polecenie Zap³aty; PGE OBRÓT SA O/WARSZAWA;;INNE
P³atnoœæ kart¹; Kraj; McDonalds 39;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; EMEL SP. Z O.O.;INNE
P³atnoœæ kart¹; Kraj; DELIKOMAT VENDING;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; SODEXO Restauracja UBC;BARY RESTAURACJE OUTDOOR
Przelew z rachunku; DAMIAN MIZERSKI;;OP£ATY RÓ¯NE
P³atnoœæ kart¹; Kraj; LPP RESERVED 1911972;ODZIEZ I OBUWIE
Sp³ata kredytu;;;SP£ATA KREDYTU
Sp³ata kredytu;;;SP£ATA KREDYTU
P³atnoœæ kart¹; Kraj; 256.SF LAVARD;ODZIEZ I OBUWIE
Przelew na rachunek; MEDVIT SP. Z O.O. PU£AWSKA 42 B;;WYNAGRODZENIA I UZNANIA
P³atnoœæ kart¹; Kraj; EMEL SP. Z O.O.;INNE
Przelew na rachunek; TEODOR  ROGOWSKI;;WYNAGRODZENIA I UZNANIA
P³atnoœæ kart¹; Kraj; AUCHAN POLSKA SP. Z  02;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; EMEL SP. Z O.O.;INNE
P³atnoœæ kart¹; Kraj; DELIKOMAT VENDING;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; DELIKOMAT VENDING;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
Przelew do ZUS; ZAK£AD UBEZPIECZEÑ SPO£ECZNYCH;;INNE
P³atnoœæ kart¹; Kraj; ORLEN 117;PALIWO
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
Zlecenie sta³e; PAWE£ KWIATKOWSKI;;ZLECENIA STA£E I SP£ATY KREDYTÓW
Prowizja;;;INNE
P³atnoœæ web - kod mobilny; Adres;;ZAKUPY INTERNET
Polecenie Zap³aty; ORANGE POLSKA SPOLKA AKCYJNA UL. AL. JEROZOLIMSKIE 160;;INNE
Przelew na rachunek; SZYMCZYKIEWICZ GRZEGORZ UL. FREZJI 1J/2;;WYNAGRODZENIA I UZNANIA
P³atnoœæ kart¹; Kraj; DELIKOMAT VENDING;BARY RESTAURACJE OUTDOOR
Zlecenie sta³e; POCZTA POLSKA S.A. COF DZIA£ ABONAMENTU;;ZLECENIA STA£E I SP£ATY KREDYTÓW
Zlecenie sta³e; OKRÊGOWA IZBA LEKARSKA W WARSZAWIE;;ZLECENIA STA£E I SP£ATY KREDYTÓW
Zlecenie sta³e; PAWE£ KWIATKOWSKI;;ZLECENIA STA£E I SP£ATY KREDYTÓW
Zlecenie sta³e; PAWE£ KWIATKOWSKI;;ZLECENIA STA£E I SP£ATY KREDYTÓW
P³atnoœæ kart¹; Kraj; McDonalds 468 Piaseczno;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; PIEROGI DOMOWE PAULINA;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; AUTOMATY UVP;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; AUTOMATY UVP;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; Deichmann-Obuwie Sp.z.;ODZIEZ I OBUWIE
P³atnoœæ kart¹; Kraj; LPP RESERVED 1911972;ODZIEZ I OBUWIE
Wyp³ata z bankomatu; Kraj; PLANET CASH PULAWSKA 46;BANKOMAT
P³atnoœæ kart¹; Kraj; EMEL SP. Z O.O.;INNE
Zlecenie sta³e; PALLOTYÑSKI SEKRETARIAT MISYJNY;;ZLECENIA STA£E I SP£ATY KREDYTÓW
P³atnoœæ kart¹; Kraj; AUCHAN POLSKA SP. Z  02;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; Leroy Merlin Piaseczno;DOM I ELEKTRONIKA
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; AUTOMATY UVP;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
Wyp³ata z bankomatu; Kraj; PLDN4292;BANKOMAT
P³atnoœæ kart¹; Kraj; AMDENTAL PLUS;INNE
Naliczenie odsetek;;;INNE
P³atnoœæ kart¹; Kraj; SODEXO Restauracja UBC;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; EMEL SP. Z O.O.;INNE
P³atnoœæ kart¹; Kraj; DELIKOMAT VENDING;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; DELIKOMAT VENDING;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; PIZZA HOT ROBERT KECIE;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; AMDENTAL PLUS;INNE
P³atnoœæ kart¹; Kraj;" Sklep ""JOLA""";Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; APTEKA CENTRALNA;APTEKA
P³atnoœæ kart¹; Kraj; PayU*Allegro;INNE
Wyp³ata w bankomacie - kod mobilny; Kraj; AL.JEROZOLIMSKIE 60B;BANKOMAT
P³atnoœæ kart¹; Kraj; AUCHAN POLSKA SP. Z  02;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; EMEL SP. Z O.O.;INNE
P³atnoœæ kart¹; Kraj; DELIKOMAT VENDING;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; MEDVIT SP. Z O.O.;INNE
P³atnoœæ kart¹; Kraj; LPP RESERVED 1911972;ODZIEZ I OBUWIE
P³atnoœæ kart¹; Kraj; AUCHAN POLSKA SP. Z  02;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; Leroy Merlin Piaseczno;DOM I ELEKTRONIKA
Przelew na rachunek; DXC TECHNOLOGY POLSKA SP. Z O.O. SZTURMOWA 2A;;WYNAGRODZENIA I UZNANIA
P³atnoœæ kart¹; Kraj; EMEL SP. Z O.O.;INNE
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; BM.PL OPL. AUTOSTRADA;INNE
Zlecenie sta³e; ABAX BIURO KSIÊGOWE BO¯ENA BARTUZI;;ZLECENIA STA£E I SP£ATY KREDYTÓW
P³atnoœæ kart¹; Kraj; LOTOS SF809 K.2;PALIWO
Przelew z rachunku; PAWE£ GRZEGORZ KWIATKOWSKI;;OP£ATY RÓ¯NE
Wyp³ata w bankomacie - kod mobilny; Kraj; UL. MORSKA 12;BANKOMAT
P³atnoœæ kart¹; Kraj; ORLEN 01;PALIWO
P³atnoœæ kart¹; Kraj; McDonalds 398;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; ORLEN DOFO 02;PALIWO
P³atnoœæ kart¹; Kraj; PIEROZKOWO;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; KONKOL SP. Z O.O.;INNE
P³atnoœæ kart¹; Kraj; KONKOL SP. Z O.O.;INNE
P³atnoœæ kart¹; Kraj; FHU BARBARA BARBARA STYN;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; DELIKATESY OLA;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj;" DELIKATESY ""OLA""";Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; SKLEP WIELOBRANZOWY;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; PIEROZKOWO;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; AUTOMATY UVP;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; AUTOMATY UVP;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; AUTOMATY UVP;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; SPP WARSZAWA 3;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; MPK GAZ SP.J.;INNE
P³atnoœæ kart¹; Kraj; HELLO 34306;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; BP-AMAZONKA 303;PALIWO
P³atnoœæ kart¹; Kraj; AUTOMATY UVP;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; CUKIERNIA KRYS;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; RUCH 965400;CHEMIA I KIOSKI
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; Leroy Merlin Piaseczno;DOM I ELEKTRONIKA
P³atnoœæ kart¹; Kraj; SODEXO Restauracja UBC;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; PHU STUDIO S;INNE
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; EMEL SP. Z O.O.;INNE
P³atnoœæ kart¹; Kraj; DELIKOMAT VENDING;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; DELIKOMAT VENDING;BARY RESTAURACJE OUTDOOR
P³atnoœæ web - kod mobilny; Adres;;ZAKUPY INTERNET
P³atnoœæ kart¹; Kraj; AUCHAN POLSKA SP. Z  02;Zakupy Spozywcze
Przelew na rachunek; GMINNY OŒRODEK POMOCY SPO£ECZNEJ;;WYNAGRODZENIA I UZNANIA
P³atnoœæ kart¹; Kraj; EMEL SP. Z O.O.;INNE
P³atnoœæ kart¹; Kraj; DELIKOMAT VENDING;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; IKEA Retail Sp. z o.o.-;DOM I ELEKTRONIKA
P³atnoœæ kart¹; Kraj; IKEA Retail Sp. z o. 01;DOM I ELEKTRONIKA
P³atnoœæ kart¹; Kraj; SUPER-PHARM STARA IWICZ;INNE
P³atnoœæ kart¹; Kraj; SUPER-PHARM STARA IWICZ;INNE
P³atnoœæ kart¹; Kraj; TOP MARKET/KRASICKIEGO;INNE
P³atnoœæ kart¹; Kraj; EMEL SP. Z O.O.;INNE
P³atnoœæ kart¹; Kraj; BM.PL OPL. AUTOSTRADA;INNE
P³atnoœæ kart¹; Kraj; ASEC Dw. Ochota T040;INNE
Wyp³ata w bankomacie - kod mobilny; Kraj; AL.JEROZOLIMSKIE 60B;BANKOMAT
P³atnoœæ kart¹; Kraj; LOTOS SF751 K.2;PALIWO
P³atnoœæ kart¹; Kraj; LOTOS SF228 K.2;PALIWO
P³atnoœæ web - kod mobilny; Adres;;ZAKUPY INTERNET
P³atnoœæ kart¹; Kraj; PIEROZKOWO;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; KONKOL SP. Z O.O.;INNE
P³atnoœæ kart¹; Kraj; GABI SNACK;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; SPRZEDAZ ART. SPO. WARZ;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; BAR NA PLAZY;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; GABI SNACK;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; KONKOL SP. Z O.O.;INNE
P³atnoœæ kart¹; Kraj; DETTLAFF;INNE
P³atnoœæ kart¹; Kraj; DELTA KROKOWA SP. Z O.;DOM I ELEKTRONIKA
Wyp³ata z bankomatu; Kraj; UL. MORSKA 12;BANKOMAT
Przelew podatkowy; URZ¥D SKARBOWY;;INNE
P³atnoœæ web - kod mobilny; Adres;;ZAKUPY INTERNET
P³atnoœæ kart¹; Kraj; GABI SNACK;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; FHU BARBARA BARBARA STYN;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; MIESO I WEDLINY LIS;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; GABI SNACK;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; DELIKATESY OLA;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; DELIKATESY OLA;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; APTEKA STAROWIEJSKA S.;APTEKA
P³atnoœæ kart¹; Kraj; MCAFEE *WWW.MCAFEE.COM;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; GABI SNACK;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; AUCHAN POLSKA SP. Z  02;Zakupy Spozywcze
Wyp³ata w bankomacie - kod mobilny; Kraj; ul. Morska 20;BANKOMAT
P³atnoœæ kart¹; Kraj; Leroy Merlin Rumia;DOM I ELEKTRONIKA
P³atnoœæ kart¹; Kraj; DELIKATESY OLA;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; AUCHAN POLSKA SP. Z  02;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; AUCHAN POLSKA SP. Z  02;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; ORLEN 01;PALIWO
P³atnoœæ kart¹; Kraj; ORLEN 01;PALIWO
P³atnoœæ kart¹; Kraj; McDonalds 398;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; Leroy Merlin Rumia;DOM I ELEKTRONIKA
P³atnoœæ kart¹; Kraj; IKEA Retail Sp. z o.o.-;DOM I ELEKTRONIKA
P³atnoœæ kart¹; Kraj; BURGER KING;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; SPRZEDAZ ART. SPO. WARZ;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; GABI SNACK;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; BAR NA PLAZY;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; BAR NA PLAZY;BARY RESTAURACJE OUTDOOR
Wyp³ata z bankomatu; Kraj; PLW20369;BANKOMAT
P³atnoœæ kart¹; Kraj; DELIKATESY OLA;Zakupy Spozywcze
Wyp³ata z bankomatu; Kraj; PLANET CASH GRUNWALDZKA 1;BANKOMAT
Wyp³ata w bankomacie - kod mobilny; Kraj; ul. Morska 20;BANKOMAT
Wyp³ata w bankomacie - kod mobilny; Kraj; UL. MORSKA 12;BANKOMAT
Polecenie Zap³aty; T-MOBILE POLSKA S.A. MARYNARSKA 12;;INNE
Przelew z rachunku; DO£ADOWANIE TELEFONU +48 505394173 ORANGE IDENTYFIKATOR OPERACJI;;OP£ATY RÓ¯NE
Przelew na rachunek; GMINNY OŒRODEK POMOCY SPO£ECZNEJ;;WYNAGRODZENIA I UZNANIA
P³atnoœæ kart¹; Kraj; FHU BARBARA BARBARA STYN;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; DETTLAFF;INNE
P³atnoœæ kart¹; Kraj; DELTA KROKOWA SP. Z O.;DOM I ELEKTRONIKA
Przelew z rachunku; AMEX;;OP£ATY RÓ¯NE
P³atnoœæ kart¹; Kraj; GABI SNACK;BARY RESTAURACJE OUTDOOR
Przelew z rachunku; DO£ADOWANIE TELEFONU +48 505394173 ORANGE IDENTYFIKATOR OPERACJI;;OP£ATY RÓ¯NE
P³atnoœæ kart¹; Kraj; GABI SNACK;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; DELIKATESY OLA;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; DELIKATESY OLA;Zakupy Spozywcze
P³atnoœæ web - kod mobilny; Adres;;ZAKUPY INTERNET
P³atnoœæ kart¹; Kraj; FHU BARBARA BARBARA STYN;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; SPRZEDAZ ART. SPO. WARZ;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; KONKOL SP. Z O.O.;INNE
P³atnoœæ kart¹; Kraj; FHU BARBARA BARBARA ST;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; KONKOL SP. Z O.O.;INNE
P³atnoœæ kart¹; Kraj; GABI SNACK;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; DELIKATESY OLA;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj;" DELIKATESY ""OLA""";Zakupy Spozywcze
Zlecenie sta³e; WSPÓLNOTA MAGNOLIA 1FUNDUSZREMONTOWY;;ZLECENIA STA£E I SP£ATY KREDYTÓW
Zlecenie sta³e; WSPÓLNOTA MIESZKANIOWA MAGNOLII 1;;ZLECENIA STA£E I SP£ATY KREDYTÓW
P³atnoœæ kart¹; Kraj; AUCHAN POLSKA SP. Z  02;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; AUCHAN POLSKA SP. Z  02;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; Leroy Merlin Rumia;DOM I ELEKTRONIKA
Polecenie Zap³aty; PGE OBRÓT SA O/WARSZAWA;;INNE
P³atnoœæ kart¹; Kraj; WYDAWNICTWO DOM SLOWA AND;INNE
P³atnoœæ kart¹; Kraj; GABI SNACK;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; BAR NA PLAZY;BARY RESTAURACJE OUTDOOR
Wyp³ata z bankomatu; Kraj; UL. MORSKA 12;BANKOMAT
Sp³ata kredytu;;;SP£ATA KREDYTU
Sp³ata kredytu;;;SP£ATA KREDYTU
Przelew na rachunek; MEDVIT SP. Z O.O. PU£AWSKA 42 B;;WYNAGRODZENIA I UZNANIA
P³atnoœæ kart¹; Kraj; GABI SNACK;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; FHU BARBARA BARBARA STYN;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; BAR NA PLAZY;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; FHU BARBARA BARBARA STYN;BARY RESTAURACJE OUTDOOR
Przelew do ZUS; ZAK£AD UBEZPIECZEÑ SPO£ECZNYCH;;INNE
Zlecenie sta³e; PAWE£ KWIATKOWSKI;;ZLECENIA STA£E I SP£ATY KREDYTÓW
P³atnoœæ kart¹; Kraj; JUSTYNA MUTTKE;INNE
P³atnoœæ kart¹; Kraj; BAR POD SWIERKAMI;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; GABI SNACK;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; FHU BARBARA BARBARA STYN;BARY RESTAURACJE OUTDOOR
Polecenie Zap³aty; ORANGE POLSKA SPOLKA AKCYJNA UL. AL. JEROZOLIMSKIE 160;;INNE
P³atnoœæ kart¹; Kraj; LOTOS SF812 K.2;PALIWO
P³atnoœæ kart¹; Kraj; Karczma Mazurska;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; Karczma Mazurska;BARY RESTAURACJE OUTDOOR
Zlecenie sta³e; OKRÊGOWA IZBA LEKARSKA W WARSZAWIE;;ZLECENIA STA£E I SP£ATY KREDYTÓW
Zlecenie sta³e; PAWE£ KWIATKOWSKI;;ZLECENIA STA£E I SP£ATY KREDYTÓW
Op³ata;;;INNE
P³atnoœæ kart¹; Kraj; ORLEN 01;PALIWO
P³atnoœæ kart¹; Kraj; AUCHAN POLSKA SP. Z  02;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; ORLEN 01;PALIWO
P³atnoœæ kart¹; Kraj; McDonalds;BARY RESTAURACJE OUTDOOR
Wyp³ata w bankomacie - kod mobilny; Kraj; SZCZESLIWA 7;BANKOMAT
P³atnoœæ kart¹; Kraj; Leroy Merlin Gdansk I;DOM I ELEKTRONIKA
P³atnoœæ kart¹; Kraj; HORBA SYSTEM;INNE
P³atnoœæ kart¹; Kraj; FHU BARBARA BARBARA STYN;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; KONKOL SP. Z O.O.;INNE
P³atnoœæ kart¹; Kraj; DELIKATESY OLA;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; DELIKATESY OLA;Zakupy Spozywcze
Zlecenie sta³e; POCZTA POLSKA S.A. COF DZIA£ ABONAMENTU;;ZLECENIA STA£E I SP£ATY KREDYTÓW
